station,date,time,prec,metp,wv2
6069,15/01/2014,11,0,2.5,null
6069,15/01/2014,12,0,2.7,null
6069,15/01/2014,13,0,2.8,null
6069,15/01/2014,14,0,3,null
6069,15/01/2014,15,0,3.1,null
6069,15/01/2014,16,0,3,null
6069,15/01/2014,17,0,2.9,null
6069,15/01/2014,18,0,2.7,null
6069,15/01/2014,19,0,2.4,null
6069,15/01/2014,20,0,2.8,null
6069,15/01/2014,21,0,2.8,null
6069,15/01/2014,22,0,2.8,null
6069,15/01/2014,23,0,2.5,null
6069,16/01/2014,0,0,2.4,null
6069,16/01/2014,1,0,2.4,null
6069,16/01/2014,2,0,2.1,null
6069,16/01/2014,3,0.3,1.5,null
6069,16/01/2014,4,0.4,1.2,null
6069,16/01/2014,5,0.5,1,null
6069,16/01/2014,6,0.3,1.1,null
6069,16/01/2014,7,0.6,1,null
6069,16/01/2014,8,0.9,1.1,null
6069,16/01/2014,9,0.7,1.1,null
6069,16/01/2014,10,0.4,1.2,null
6069,16/01/2014,11,0.2,1.2,null
6069,16/01/2014,12,0.4,1.2,null
6069,16/01/2014,13,0.4,1.1,null
6069,16/01/2014,14,0.5,1,null
6069,16/01/2014,15,0.2,1,null
6069,16/01/2014,16,0.1,1,null
6069,16/01/2014,17,0.5,0.8,null
6069,16/01/2014,18,0.3,0.6,null
6069,16/01/2014,19,0.1,0.8,null
6069,16/01/2014,20,0.1,0.9,null
6069,16/01/2014,21,0,0.9,null
6069,16/01/2014,22,0.2,0.9,null
6069,16/01/2014,23,0.2,0.9,null
6069,17/01/2014,0,0.1,0.6,null
6069,17/01/2014,1,0.3,0.2,null
6069,17/01/2014,2,0.4,0.2,null
6069,17/01/2014,3,0.4,0.2,null
6069,17/01/2014,4,0,0.1,null
6069,17/01/2014,5,0.2,0.1,null
6069,17/01/2014,6,0.1,0,null
6069,17/01/2014,7,0.1,0.1,null
6069,17/01/2014,8,0.5,0.1,null
6069,17/01/2014,9,0.9,0.2,null
6069,17/01/2014,10,0.8,0.3,null
6069,17/01/2014,11,0.1,0.4,null
6069,17/01/2014,12,0,0.6,null
6069,17/01/2014,13,0,0.6,null
6069,17/01/2014,14,0.4,0.6,null
6069,17/01/2014,15,0.4,0.2,null
6069,17/01/2014,16,0.2,0.1,null
6069,17/01/2014,17,0.4,0.1,null
6069,17/01/2014,18,0.3,0.2,null
6069,17/01/2014,19,0.5,0.2,null
6069,17/01/2014,20,0.1,0.3,null
6069,17/01/2014,21,0.4,0.4,null
6069,17/01/2014,22,0.1,0.4,null
6069,17/01/2014,23,0,0.4,null
6069,18/01/2014,0,0,0.6,null
6069,18/01/2014,1,0,0.5,null
6069,18/01/2014,2,0,0.6,null
6069,18/01/2014,3,0,0.6,null
6069,18/01/2014,4,0,0.6,null
6069,18/01/2014,5,0,0.6,null
6069,18/01/2014,6,0.2,0.4,null
6069,18/01/2014,7,0.1,0.6,null
6069,18/01/2014,8,0.4,0.4,null
6069,18/01/2014,9,0.4,0.3,null
6069,18/01/2014,10,0.5,0.3,null
6069,18/01/2014,11,0,0.4,null
6069,18/01/2014,12,0,0.3,null
6069,18/01/2014,13,0,0.4,null
6069,18/01/2014,14,0,0.4,null
6069,18/01/2014,15,0,0.5,null
6069,18/01/2014,16,0,0.5,null
6069,18/01/2014,17,0,0.6,null
6069,18/01/2014,18,0,0.7,null
6069,18/01/2014,19,0,0.9,null
6069,18/01/2014,20,0,1.1,null
6069,18/01/2014,21,0,1.2,null
6069,18/01/2014,22,0,1.4,null
6069,18/01/2014,23,0,1.4,null
6069,19/01/2014,0,0,1.5,null
6069,19/01/2014,1,0,1.5,null
6069,19/01/2014,2,0,1.5,null
6069,19/01/2014,3,0,1.4,null
6069,19/01/2014,4,0,1.3,null
6069,19/01/2014,5,0,1.3,null
6069,19/01/2014,6,0,1.2,null
6069,19/01/2014,7,0,1,null
6069,19/01/2014,8,0,0.8,null
6069,19/01/2014,9,0,0.7,null
6069,19/01/2014,10,0,0.7,null
6069,19/01/2014,11,0,0.7,null
6069,19/01/2014,12,0,0.8,null
6069,19/01/2014,13,0,0.9,null
6069,19/01/2014,14,0,0.7,null
6069,19/01/2014,15,0,0.6,null
6069,19/01/2014,16,0,0.5,null
6069,19/01/2014,17,0,0.3,null
6069,19/01/2014,18,0,0.2,null
6069,19/01/2014,19,0,0.1,null
6069,19/01/2014,20,0,0,null
6069,19/01/2014,21,0,-0.2,null
6069,19/01/2014,22,0,-0.2,null
6069,19/01/2014,23,0,-0.1,null
6069,20/01/2014,0,0,-0.1,null
6069,20/01/2014,1,0,0,null
6069,20/01/2014,2,0,-0.2,null
6069,20/01/2014,3,0,-0.1,null
6069,20/01/2014,4,0,-0.1,null
6069,20/01/2014,5,0,-0.1,null
6069,20/01/2014,6,0,-0.1,null
6069,20/01/2014,7,0,-0.3,null
6069,20/01/2014,8,0,-0.4,null
6069,20/01/2014,9,0,-0.3,null
6069,20/01/2014,10,0,-0.3,null
6069,20/01/2014,11,0,-0.4,null
6069,20/01/2014,12,0,-0.2,null
6069,20/01/2014,13,0,-0.2,null
6069,20/01/2014,14,0,0,null
6069,20/01/2014,15,0,0,null
6069,20/01/2014,16,0,-0.2,null
6069,20/01/2014,17,0,-0.3,null
6069,20/01/2014,18,0,-0.5,null
6069,20/01/2014,19,0,-0.3,null
6069,20/01/2014,20,0,-0.2,null
6069,20/01/2014,21,0,-0.2,null
6069,20/01/2014,22,0,-0.4,null
6069,20/01/2014,23,0,-0.5,null
6069,21/01/2014,0,0,-0.7,null
6069,21/01/2014,1,0,-0.8,null
6069,21/01/2014,2,0,-0.8,null
6069,21/01/2014,3,0,-0.9,null
6069,21/01/2014,4,0,-1,null
6069,21/01/2014,5,0,-1,null
6069,21/01/2014,6,0,-0.9,null
6069,21/01/2014,7,0,-0.9,null
6069,21/01/2014,8,0,-0.8,null
6069,21/01/2014,9,0,-0.8,null
6069,21/01/2014,10,0,-0.9,null
6069,21/01/2014,11,0,-0.8,null
6069,21/01/2014,12,0,-0.7,null
6069,21/01/2014,13,0,-0.6,null
6069,21/01/2014,14,0,-0.6,null
6069,21/01/2014,15,0,-0.6,null
6069,21/01/2014,16,0,-0.6,null
6069,21/01/2014,17,0,-0.6,null
6069,21/01/2014,18,0,-0.6,null
6069,21/01/2014,19,0,-0.7,null
6069,21/01/2014,20,0,-0.9,null
6069,21/01/2014,21,0,-1,null
6069,21/01/2014,22,0,-1,null
6069,21/01/2014,23,0,-1.2,null
6069,22/01/2014,0,0,-1.2,null
6069,22/01/2014,1,0,-1.4,null
6069,22/01/2014,2,0,-1.5,null
6069,22/01/2014,3,0,-1.4,null
6069,22/01/2014,4,0,-1.4,null
6069,22/01/2014,5,0,-1.4,null
6069,22/01/2014,6,0,-1.5,null
6069,22/01/2014,7,0,-1.4,null
6069,22/01/2014,8,0,-1.3,null
6069,22/01/2014,9,0,-1.1,null
6069,22/01/2014,10,0,-1.1,null
6069,22/01/2014,11,0,-1,null
6069,22/01/2014,12,0,-0.8,null
6069,22/01/2014,13,0,-0.7,null
6069,22/01/2014,14,0,-0.8,null
6069,22/01/2014,15,0,-0.8,null
6069,22/01/2014,16,0,-0.9,null
6069,22/01/2014,17,0,-1.1,null
6069,22/01/2014,18,0,-1,null
6069,22/01/2014,19,0,-1.1,null
6069,22/01/2014,20,0,-1.2,null
6069,22/01/2014,21,0,-1.2,null
6069,22/01/2014,22,0,-1.2,null
6069,22/01/2014,23,0,-1.3,null
6069,23/01/2014,0,0,-1.4,null
6069,23/01/2014,1,0,-1.5,null
6069,23/01/2014,2,0,-1.2,null
6069,23/01/2014,3,0,-1.2,null
6069,23/01/2014,4,0,-1.2,null
6069,23/01/2014,5,0,-1.2,null
6069,23/01/2014,6,0,-1.2,null
6069,23/01/2014,7,0,-1.1,null
6069,23/01/2014,8,0,-1.1,null
6069,23/01/2014,9,0,-1.1,null
6069,23/01/2014,10,0,-1.1,null
6069,23/01/2014,11,0,-1.3,null
6069,23/01/2014,12,0,-1.4,null
6069,23/01/2014,13,0,-1.8,null
6069,23/01/2014,14,0,-2.2,null
6069,23/01/2014,15,0,-2.4,null
6069,23/01/2014,16,0,-2.1,null
6069,23/01/2014,17,0,-1.9,null
6069,23/01/2014,18,0,-1.8,null
6069,23/01/2014,19,0,-1.9,null
6069,23/01/2014,20,0,-2,null
6069,23/01/2014,21,0,-1.8,null
6069,23/01/2014,22,0,-1.6,null
6069,23/01/2014,23,0,-1.4,null
6069,24/01/2014,0,0,-1.3,null
6069,24/01/2014,1,0,-1.7,null
6069,24/01/2014,2,0,-2.3,null
6069,24/01/2014,3,0,-2.7,null
6069,24/01/2014,4,0,-3,null
6069,24/01/2014,5,0,-3.6,null
6069,24/01/2014,6,0,-3.7,null
6069,24/01/2014,7,0,-4.1,null
6069,24/01/2014,8,0,-4.3,null
6069,24/01/2014,9,0,-4,null
6069,24/01/2014,10,0,-3.2,null
6069,24/01/2014,11,0,-2.6,null
6069,24/01/2014,12,0,-2.1,null
6069,24/01/2014,13,0,-1.9,null
6069,24/01/2014,14,0,-2,null
6069,24/01/2014,15,0,-2.2,null
6069,24/01/2014,16,0,-2.2,null
6069,24/01/2014,17,0,-2.1,null
6069,24/01/2014,18,0,-2.1,null
6069,24/01/2014,19,0,-2.1,null
6069,24/01/2014,20,0,-2.3,null
6069,24/01/2014,21,0,-2.5,null
6069,24/01/2014,22,0,-2.7,null
6069,24/01/2014,23,0,-3.1,null
6069,25/01/2014,0,0,-3,null
6069,25/01/2014,1,0,-3,null
6069,25/01/2014,2,0,-3.3,null
6069,25/01/2014,3,0,-3.4,null
6069,25/01/2014,4,0,-3.4,null
6069,25/01/2014,5,0,-3.8,null
6069,25/01/2014,6,0,-4.1,null
6069,25/01/2014,7,0,-4.2,null
6069,25/01/2014,8,0,-4.1,null
6069,25/01/2014,9,0,-4.1,null
6069,25/01/2014,10,0,-4,null
6069,25/01/2014,11,0,-3.5,null
6069,25/01/2014,12,0,-3.3,null
6069,25/01/2014,13,0,-3.4,null
6069,25/01/2014,14,0,-3.7,null
6069,25/01/2014,15,0,-4,null
6069,25/01/2014,16,0,-4.1,null
6069,25/01/2014,17,0,-4.1,null
6069,25/01/2014,18,0,-4.2,null
6069,25/01/2014,19,0,-4.2,null
6069,25/01/2014,20,0,-4.2,null
6069,25/01/2014,21,0,-4.2,null
6069,25/01/2014,22,0,-4.3,null
6069,25/01/2014,23,0,-4.4,null
6069,26/01/2014,0,0,-4.5,null
6069,26/01/2014,1,0,-5,null
6069,26/01/2014,2,0,-5.1,null
6069,26/01/2014,3,0,-5.3,null
6069,26/01/2014,4,0,-5.6,null
6069,26/01/2014,5,0,-5.1,null
6069,26/01/2014,6,0,-5.2,null
6069,26/01/2014,7,0,-5.4,null
6069,26/01/2014,8,0,-5.4,null
6069,26/01/2014,9,0,-5.2,null
6069,26/01/2014,10,0,-4.8,null
6069,26/01/2014,11,0,-4.3,null
6069,26/01/2014,12,0,-4,null
6069,26/01/2014,13,0,-3.7,null
6069,26/01/2014,14,0,-3.5,null
6069,26/01/2014,15,0,-3.3,null
6069,26/01/2014,16,0,-3.4,null
6069,26/01/2014,17,0,-3.8,null
6069,26/01/2014,18,0,-3.9,null
6069,26/01/2014,19,0,-3.9,null
6069,26/01/2014,20,0,-4.4,null
6069,26/01/2014,21,0,-4.9,null
6069,26/01/2014,22,0,-5.4,null
6069,26/01/2014,23,0,-6.1,null
6069,27/01/2014,0,0,-6.4,null
6069,27/01/2014,1,0,-6.2,null
6069,27/01/2014,2,0,-5.9,null
6069,27/01/2014,3,0,-5.5,null
6069,27/01/2014,4,0,-5.1,null
6069,27/01/2014,5,0,-4.8,null
6069,27/01/2014,6,0,-4.9,null
6069,27/01/2014,7,0,-4.6,null
6069,27/01/2014,8,0,-4.1,null
6069,27/01/2014,9,0,-3.4,null
6069,27/01/2014,10,0,-2.9,null
6069,27/01/2014,11,0,-2.5,null
6069,27/01/2014,12,0,-1.9,null
6069,27/01/2014,13,0,-2,null
6069,27/01/2014,14,0,-2,null
6069,27/01/2014,15,0,-1.9,null
6069,27/01/2014,16,0,-1.7,null
6069,27/01/2014,17,0,-1.9,null
6069,27/01/2014,18,0,-1.9,null
6069,27/01/2014,19,0,-1.7,null
6069,27/01/2014,20,0,-1.6,null
6069,27/01/2014,21,0,-1.4,null
6069,27/01/2014,22,0,-1.4,null
6069,27/01/2014,23,0,-1.5,null
6069,28/01/2014,0,0,-1.5,null
6069,28/01/2014,1,0,-1.6,null
6069,28/01/2014,2,0,-1.4,null
6069,28/01/2014,3,0,-1.2,null
6069,28/01/2014,4,0,-1.1,null
6069,28/01/2014,5,0,-1.1,null
6069,28/01/2014,6,0,-1.4,null
6069,28/01/2014,7,0,-1.2,null
6069,28/01/2014,8,0,-1,null
6069,28/01/2014,9,0,-0.9,null
6069,28/01/2014,10,0,-0.7,null
6069,28/01/2014,11,0,-0.5,null
6069,28/01/2014,12,0,-0.3,null
6069,28/01/2014,13,0,-0.3,null
6069,28/01/2014,14,0,-0.3,null
6069,28/01/2014,15,0,-0.2,null
6069,28/01/2014,16,0,-0.4,null
6069,28/01/2014,17,0,-0.5,null
6069,28/01/2014,18,0,-0.5,null
6069,28/01/2014,19,0,-0.6,null
6069,28/01/2014,20,0,-0.6,null
6069,28/01/2014,21,0,-1,null
6069,28/01/2014,22,0,-0.8,null
6069,28/01/2014,23,0,-0.7,null
6069,29/01/2014,0,0,-0.8,null
6069,29/01/2014,1,0,-1.6,null
6069,29/01/2014,2,0,-2.2,null
6069,29/01/2014,3,0,-2.5,null
6069,29/01/2014,4,0,-2.6,null
6069,29/01/2014,5,0,-2.5,null
6069,29/01/2014,6,0,-2.6,null
6069,29/01/2014,7,0,-3.1,null
6069,29/01/2014,8,0,-3.2,null
